generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1782494891-XBLyJTwyvLZlDJgrUIGk,2026-06-26 17:28:11.029,0.003421,,,,0,21239,392,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,5688,2135,,Inference Model
gen-1782494884-ABeQrc4CL4lzKFVYp6EZ,2026-06-26 17:28:04.094,0.003636,,,,0,23709,133,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,6605,2892,,Inference Model
gen-1782494876-2WewtLcNYirkW0oZujv3,2026-06-26 17:27:56.364,0.003318,,,,0,20449,419,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,7306,1448,,Inference Model
gen-1782494873-YuiSFvojarjr5SPCpO39,2026-06-26 17:27:53.816,0.001799,,-0.001718,,0,22975,120,0,22912,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2293,603,,Inference Model
gen-1782494871-OX6U30QtaAugnk7gKRSS,2026-06-26 17:27:51.815,0.001795,,-0.001718,,0,22975,113,0,22912,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,1819,693,,Inference Model
gen-1782494866-qHXp8ADGKZ1sn5i2HKvB,2026-06-26 17:27:46.691,0.003517,,,,0,22941,127,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,4964,2226,,Inference Model
gen-1782494850-GtBqqPEVFI9rLlYD8u94,2026-06-26 17:27:30.710,0.003186,,,,0,19699,386,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,15817,4105,,Inference Model
gen-1782494848-jwRlnbod2j6rCxg2APoU,2026-06-26 17:27:28.934,0.001728,,-0.00166,,0,22198,99,0,22144,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,1339,680,,Inference Model
gen-1782494846-856nrWLbcVZm4tBib3g7,2026-06-26 17:27:26.376,0.00339,,,,0,22173,108,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2158,1245,,Inference Model
gen-1782494838-2NJ15rzuhRvihM5yK37u,2026-06-26 17:27:18.723,0.003093,,,,0,18949,419,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,7435,1358,,Inference Model
gen-1782494836-VxrWH84KDwyOWWDV9xIH,2026-06-26 17:27:16.765,0.001677,,-0.001593,,0,21388,105,0,21248,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,1742,659,,Inference Model
gen-1782494835-ZVR0IbNeikxZlPbjSkCn,2026-06-26 17:27:15.133,0.001665,,-0.001593,,0,21397,82,0,21248,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,1481,623,,Inference Model
gen-1782494832-PAh2zPjGxkKEBY3aVA7H,2026-06-26 17:27:12.309,0.003271,,,,0,21363,112,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2625,1140,,Inference Model
gen-1782494816-BFQ6MHurnxv1DYg71l3Y,2026-06-26 17:26:56.432,0.002977,,,,0,18159,423,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,15698,1515,,Inference Model
gen-1782494814-zkmr1VDzdJyE1l0ZKQ6N,2026-06-26 17:26:54.402,0.001613,,-0.001536,,0,20578,104,0,20480,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,1798,816,,Inference Model
gen-1782494811-yZaKBqAOJjaESOb9FGNY,2026-06-26 17:26:51.682,0.003147,,,,0,20553,107,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2545,1220,,Inference Model
gen-1782494805-vOUfItDvPdwb0NvQFHRZ,2026-06-26 17:26:45.395,0.002881,,,,0,17369,460,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,6134,1620,,Inference Model
gen-1782494802-eYEHpn7V01B8jRjdhiF6,2026-06-26 17:26:42.546,0.000889,,,,0,5546,96,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,2665,1446,,Inference Model
gen-1782494800-Cal42fCweJ6gJRvqxBoq,2026-06-26 17:26:40.127,0.000499,,,,0,2421,227,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,2051,908,,Inference Model
gen-1782494797-YgTS8EMDO58BQd7IH33R,2026-06-26 17:26:37.825,0.000508,,,,0,2414,244,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,2115,715,,Inference Model
gen-1782494793-9VaqiWqjxvcnEuz8joDn,2026-06-26 17:26:33.033,0.00048,,,,0,2391,203,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,4605,1111,,Inference Model
gen-1782494790-TN5iUXfs9AYc3W5fWP5o,2026-06-26 17:26:30.450,0.000521,,,,0,2394,271,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,2413,781,,Inference Model
gen-1782494788-j73Fp74gPTWeyM2xJMeG,2026-06-26 17:26:28.443,0.000516,,,,0,2402,260,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,1825,770,,Inference Model
gen-1782494784-xcfaVv4bfptQ6L8xCsxr,2026-06-26 17:26:24.405,0.000524,,,,0,2419,270,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,3823,613,,Inference Model
gen-1782494779-sbuXBcV2cGZsY9pT0Li1,2026-06-26 17:26:19.550,0.000528,,,,0,2382,286,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,4641,742,,Inference Model
gen-1782494777-Tzz10g3Os3hnOmlwMuDD,2026-06-26 17:26:17.010,0.000501,,,,0,2401,236,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,2366,1039,,Inference Model
gen-1782494774-BrLt41p2YUXQrLdrHbeq,2026-06-26 17:26:14.630,0.00052,,,,0,2388,271,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,2190,776,,Inference Model
gen-1782494772-CYPc9TYxPIVSuRGqNQii,2026-06-26 17:26:12.073,0.000517,,,,0,2412,260,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,2281,808,,Inference Model
